name,number_votes,share_votes,district,affiliation
Szendreiné Kis Katalin,26,0.05,Balassagyarmat,EU. ROM
Balla Mihály Tibor,24564,48.82,Balassagyarmat,FIDESZ-KDNP
Mazgon Jelena,224,0.45,Balassagyarmat,SMS
Belák Vince Ottó,64,0.13,Balassagyarmat,MSZDP
Zagyvai Sándor,1542,3.06,Balassagyarmat,LMP
Hegedűs Ervin,195,0.39,Balassagyarmat,ZÖLDEK
Borenszki Ervin,10358,20.58,Balassagyarmat,MSZP-EGYÜTT-DK-PM-MLP
Kovács Boglárka,81,0.16,Balassagyarmat,SEM
Török Tamásné,280,0.56,Balassagyarmat,A HAZA NEM ELADÓ
Rákosi György,37,0.07,Balassagyarmat,NÉP
Makó András,85,0.17,Balassagyarmat,SZOCIÁLDEMOKRATÁK
Nagy József,166,0.33,Balassagyarmat,EGYÜTT 2014
Németh László,74,0.15,Balassagyarmat,JESZ
Ráczné Molnár Mária,55,0.11,Balassagyarmat,SZEM-NŐPÁRT
Kiss László,11256,22.37,Balassagyarmat,JOBBIK
Halasi Miklós,93,0.18,Balassagyarmat,MCF
Szilvási István,115,0.23,Balassagyarmat,FKGP
Tóth Zoltán,208,0.41,Balassagyarmat,KTI
Rácz Jenő,223,0.44,Balassagyarmat,MCP
Czekó Erzsébet,46,0.09,Balassagyarmat,ÖP
Dr. Frankfurter Zsuzsanna,628,1.25,Balassagyarmat,MUNKÁSPÁRT
Krekács Dániel Zsolt,163,0.33,Salgótarján,SEM
Szőrös Zita,269,0.55,Salgótarján,MCP
Dr. Turza Csaba József,548,1.12,Salgótarján,Független
Hajdara Roland,63,0.13,Salgótarján,FKGP
Laukó Lenke,401,0.82,Salgótarján,A HAZA NEM ELADÓ
Komlósi Csaba,1286,2.63,Salgótarján,LMP
Boldvai László Róbert,13140,26.87,Salgótarján,MSZP-EGYÜTT-DK-PM-MLP
Becsó Zsolt,18410,37.64,Salgótarján,FIDESZ-KDNP
Kutas József,11499,23.51,Salgótarján,JOBBIK
Csikós Béla,42,0.09,Salgótarján,EU. ROM
Kürti István,56,0.11,Salgótarján,KISGAZDAPÁRT-MIÉP
Gazsiné Szekeres Márta,99,0.20,Salgótarján,Független
Sturmann Béla,137,0.28,Salgótarján,SZOCIÁLDEMOKRATÁK
Klányi József,40,0.08,Salgótarján,Független
Dr. Fölker Tibor Tamás,77,0.16,Salgótarján,MRPP
Dancsó János,290,0.59,Salgótarján,KTI
Szabó Zsolt Attila,25,0.05,Salgótarján,ÚDP
Nagy Attila Tibor,785,1.61,Salgótarján,MUNKÁSPÁRT
Seres Mária,1210,2.47,Salgótarján,SMS
Kanyó Károly,38,0.08,Salgótarján,EP
